method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,accel_decel,58,0.5,0.5,0.4482758620689655,0.9524958547564026,4.945561503768677,0.7411091908298689,107.24137931034483,31.453454519318413,0.27975145221067305,0.3153971497971203,1.4633318981685763,0.13091056508106103,0.0,3.0755192211749054,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,ar1_velocity,85,0.6705882352941176,0.32941176470588235,0.6470588235294118,0.9631134523418806,4.837963868267925,0.8386951421113575,112.4235294117647,35.29721294939041,0.29512683322659505,0.32809677214333943,1.454572769351963,0.14633787923348515,0.0,3.0287856157925575,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.673469387755102,0.9679373989421733,4.787469984615381,0.8624986665589469,111.44897959183673,35.95847276676602,0.2948400913695428,0.326871570915852,1.4584785757954997,0.1386981628839082,0.0,2.917433533125559,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,linear,36,0.5277777777777778,0.4722222222222222,0.4444444444444444,0.9379612676840777,4.941808052842185,0.7910714170171155,108.19444444444444,31.654514454979108,0.31006394660861797,0.340087754511754,1.480019458930168,0.1343197713401159,0.0,2.971976797448223,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5972222222222222,0.9564058023172838,4.839201183691966,0.8177738229019774,111.04166666666667,33.884299121104206,0.2848422081555111,0.32035872987252617,1.4624678826683322,0.13858643835138476,0.0,2.9756966222101844,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,accel_decel,64,0.5625,0.4375,0.46875,0.9485586895646407,5.505372107215689,0.8184743905439973,113.609375,32.63120796938954,0.2281884400897852,0.26257730820056807,1.5584328981187128,0.0970112940789941,0.0,3.669790923441379,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,ar1_velocity,75,0.49333333333333335,0.5066666666666667,0.4533333333333333,0.9417999404941636,5.390325021469859,0.7091212028264999,112.29333333333334,31.136076950160756,0.2380607267197437,0.2681561912723023,1.560498425865668,0.09563944881356928,0.0,3.5270478233456886,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,crossing_or_sudden_threat,53,0.6037735849056604,0.39622641509433965,0.5660377358490566,0.953447697615779,5.523277044319582,0.7931778554646474,114.41509433962264,33.77068612024644,0.25044450069907126,0.2823291370620915,1.5597185599847656,0.09898094497494773,0.0,3.601915864839751,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,linear,36,0.5555555555555556,0.4444444444444444,0.5,0.9390486387947933,5.497493534007263,0.8805684712198045,112.13888888888889,32.199683847202714,0.22785010310734843,0.2557539205437135,1.557006936594379,0.09408145740753898,0.0,3.635221231296809,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5555555555555556,0.9507280407193132,5.274776820206614,0.802064766900407,114.13888888888889,33.78875168728317,0.24988495486542162,0.29009574152930934,1.5611814662362613,0.09718990372781124,0.0,3.4545843979097905,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,accel_decel,60,0.4666666666666667,0.5333333333333333,0.45,0.9418253523285084,5.741095926395607,0.6914028360197941,108.68333333333334,30.67053996484659,0.26843751926440956,0.29971835994307683,1.5501858945857565,0.07508120611277042,0.0,3.575752443134247,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,ar1_velocity,82,0.5,0.5,0.47560975609756095,0.9377863711964195,5.734213168834756,0.676757346020966,108.08536585365853,31.13007883922047,0.25144015264987657,0.2833011487290007,1.5492181196761567,0.07263300402000107,0.0,3.598500263554376,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,crossing_or_sudden_threat,40,0.4,0.6,0.35,0.9400573332112421,5.74986562872954,0.6668332405388355,106.975,29.22827348567994,0.2443260097318582,0.2699181522624974,1.5558733258104211,0.06996167983324575,0.0,3.7695497396655475,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,linear,34,0.38235294117647056,0.6176470588235294,0.29411764705882354,0.9340256445946364,5.594588916436169,0.7139315057326766,107.76470588235294,28.701816483522368,0.25241316542051084,0.2873371432508932,1.5483376731378424,0.07602821788528029,0.0,3.4958415476743276,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,sinusoidal_lateral,84,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.9501603202004455,5.758211759791417,0.723476981478078,109.64285714285714,31.124934549859734,0.2553983011728545,0.2922835144128825,1.5474672616195086,0.07502436856055392,0.0,3.6794308190745864,0
